hotel_id,name,number
0,Front Desk,4155240623
0,Kitchen,+1-927-266-6464x6119
0,Housekeeping,(259)635-9486x743
1,Front Desk,+1-468-585-0249x0153
1,Kitchen,(786)429-6264x1522
1,Housekeeping,988-970-6194x827
2,Front Desk,384-241-7138x3005
2,Kitchen,+1-223-290-4807x4239
2,Housekeeping,(210)757-9827x524
3,Front Desk,834.693.4298x830
3,Kitchen,845.461.5733
3,Housekeeping,392-799-4059x856
4,Front Desk,001-400-219-8200x5975
4,Kitchen,+1-686-373-5111x845
4,Housekeeping,(428)861-0504
5,Front Desk,001-891-675-4936x41967
5,Kitchen,712-826-4512
5,Housekeeping,001-458-931-1988x636
6,Front Desk,+1-407-487-2398x447
6,Kitchen,993-504-3544x3348
6,Housekeeping,945-655-2000x63828
7,Front Desk,227.214.1479
7,Kitchen,969-881-5433x67621
7,Housekeeping,(405)368-0895
8,Front Desk,(825)332-1688
8,Kitchen,(223)988-2300
8,Housekeeping,460.406.3188x517
9,Front Desk,332.780.9160x55035
9,Kitchen,768-332-1315x666
9,Housekeeping,001-841-361-9593x87152
10,Front Desk,+1-376-964-6008x78546
10,Kitchen,+1-319-486-6203x48469
10,Housekeeping,+1-293-324-1668x5484
11,Front Desk,287.862.2829x1320
11,Kitchen,918.509.6253
11,Housekeeping,826-784-5413x0408
12,Front Desk,+1-441-731-4505x0545
12,Kitchen,001-286-792-4643x409
12,Housekeeping,714-250-4202x944
13,Front Desk,273-429-1053x9534
13,Kitchen,2547928920
13,Housekeeping,+1-533-597-4386x47512
14,Front Desk,714.252.5844x9146
14,Kitchen,941-619-4371x666
14,Housekeeping,279-294-0641x1002
15,Front Desk,340-219-5533
15,Kitchen,879-203-8731
15,Housekeeping,2816834182
16,Front Desk,001-971-691-9286x61739
16,Kitchen,567.940.5211x160
16,Housekeeping,+1-521-469-8273
17,Front Desk,797.804.6682
17,Kitchen,476-257-7148
17,Housekeeping,+1-743-279-3640x37604
18,Front Desk,+1-821-960-9296
18,Kitchen,795-993-6071
18,Housekeeping,672.906.9451x50115
19,Front Desk,6996045945
19,Kitchen,3349125021
19,Housekeeping,928-252-3092
