employee_id,department_id,schedule_id
8059,1812,1
7763,6487,2
7662,9276,2
2203,8882,2
4546,1954,2
6420,4709,2
7140,5902,2
7193,9327,2
6438,4798,2
1877,4252,2
7267,5524,2
866,6194,4
4089,5520,4
3855,8399,4
7932,1735,4
2960,6369,4
2721,4965,4
5604,5720,4
3733,8658,4
25,1319,4
9587,2474,4
1735,1811,8
8818,5692,8
9636,119,8
9829,3313,8
6013,1439,8
1574,8902,8
9673,6597,8
9932,9174,8
9886,1296,8
1731,4307,8
7797,6078,16
986,1214,16
8330,6804,16
371,9981,16
1911,2537,16
3180,4369,16
6411,9050,16
8053,5223,16
8822,9767,16
3350,2830,16
3037,4711,32
5644,2428,32
9099,5236,32
7734,6631,32
9361,5472,32
9249,1000,32
6497,1575,32
6304,3403,32
1775,2734,32
2646,1456,32
8278,5284,64
1537,6450,64
1790,8405,64
7118,5362,64
9690,6704,64
6889,2264,64
6447,6086,64
3567,9159,64
6732,1232,64
6372,9009,64
6811,9395,128
8920,3762,128
9791,1757,128
272,9785,128
3336,957,128
5924,9377,128
6175,5471,128
546,5127,128
6844,7367,128
1528,6569,128
2711,7357,256
9035,3376,256
305,2410,256
1545,8096,256
1163,5291,256
9561,9412,256
77,5089,256
2567,8844,256
4333,3708,256
4488,3493,256
8938,4815,512
8365,6073,512
158,9221,512
5520,4359,512
3806,7161,512
734,2592,512
4900,9324,512
1513,4956,512
9136,276,512
9844,3622,512
1659,681,1024
6918,1404,1024
4989,2071,1024
253,5117,1024
4820,2173,1024
7532,4985,1024
3495,24,1024
4349,5166,1024
6907,329,1024
